Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s),Event
0.0,-458.708149922512,3081.87505277474,5546.65660601263,-0.224735806416073,-0.0343930667990539,0.000524097448327249,ignition_s1
176.621808270265,-460.204342669005,3027.13952026746,5653.15830381016,0.708237237678584,-1.55625404935076,1.80239234012227,meco
176.621808270265,-460.204360246638,3027.13955025361,5653.15826851027,0.708237237678584,-1.55625404935076,1.80239234012227,ignition_s2
492.706166747025,-11.302689014937,1999.74377845922,6215.80264723108,2.51350688086923,-5.70333798278398,2.29112217327973,seco
492.706205362291,-11.3014493681295,1999.74174777009,6215.80999292377,2.51356177219267,-5.70345961979962,2.29117502547232,ignition_s3
4543.51817493435,-2583.10107588395,5904.43505957339,-2403.02941003814,-0.18926982305196,2.79762477936168,7.07742042814689,teco
176.621808270265,-460.204360246638,3027.13955025361,5653.15826851027,0.708237237678584,-1.55625404935076,1.80239234012227,s1s2_separation
243.179193923682,-405.528518866021,2904.39477963322,5768.9912441019,0.939215523782394,-2.13746078237077,1.69136045380097,s2fairing_separation
492.706166747025,-11.3025503851355,1999.74350919679,6215.80286823693,2.51350688086923,-5.70333798278398,2.29112217327973,s2s3_separation
77.6088031681864,-475.75672768505,3082.3364587417,5557.42541238851,-0.177341620263251,-0.00794830003265255,0.356558343504699,maxQ
