Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s)
492.706166747025,-11.3025503851355,1999.74350919679,6215.80286823693,2.51350688086923,-5.70333798278398,2.29112217327973
492.7073719444109,-11.299521113201482,1999.736635546683,6215.805629484921,2.5135069003703725,-5.703341433548789,2.2911114472464527
492.7194239182699,-11.26922839256987,1999.6678988168771,6215.833241253841,2.5135070950940412,-5.703375940499327,2.291004186792071
492.83994365685993,-10.966301058393297,1998.980508648534,6216.109287844021,2.5135090135554194,-5.703720940250385,2.289931570088288
494.0451410427601,-7.937016213577307,1992.1043230467706,6218.86264330156,2.5135253211427946,-5.707163963298493,2.2792041880659073
496.70046653341734,-1.262759535010927,1976.9399195281364,6224.883285175458,2.513542801463911,-5.714705001763232,2.2555615360258696
499.1981761397613,5.0153367637108035,1962.657446073512,6230.489239095249,2.513536099141027,-5.721742292515883,2.233312549308568
501.4908745266727,10.77809085877855,1949.5318578199417,6235.586131555884,2.5135102154564595,-5.72815410878831,2.2128814921522952
504.1383147297753,17.432393764447717,1934.357173576436,6241.413362745138,2.513456852201271,-5.735501058917881,2.1892794119854813
507.04358132018183,24.734536221754592,1917.6823863715522,6247.736164556683,2.5133693650817643,-5.743493319989637,2.1633667754371713
510.1535941939513,32.55095854061988,1899.8068490101077,6254.421111199109,2.5132422025755092,-5.751967504059678,2.135614102295821
513.4347835878817,40.797111065666925,1880.9190102002703,6261.380407584032,2.513070519103899,-5.760817026753686,2.1063184550898955
516.8633398125359,49.41294862263726,1861.1520152315459,6268.549538411391,2.512850011068832,-5.769964175338746,2.075690210751373
520.421301204442,58.353099313523494,1840.6059778735528,6275.878193716529,2.5125768071948924,-5.7793487955886365,2.043887856398186
524.0944748494893,67.58163995489502,1819.3598079453136,6283.325420272101,2.512247399367866,-5.788922252580956,2.0110364783849795
527.8711181724512,77.06878413848662,1797.4787174570602,6290.85657460498,2.5118586092777617,-5.798643627032435,1.9772394895590224
531.7412491643468,86.78915034888213,1775.0181357302363,6298.441698131246,2.5114075579403274,-5.808477693874186,1.9425847587328016
535.6960894367866,96.72036425192191,1752.0268823318547,6306.054247588821,2.5108916578136813,-5.8183933307746125,1.9071495664412135
539.7278944801658,106.84263384812121,1728.5481098242753,6313.6706407296015,2.5103085823956826,-5.828362965436921,1.8710021028227222
543.8295076960395,117.13763134737246,1704.621864893425,6321.269312868526,2.5096562888821334,-5.838361371692587,1.8342054474259613
547.9944057354381,127.58860896411576,1680.284799668372,6328.8307406455,2.5089329853709774,-5.848365718371153,1.7968171504839443
552.2165308907299,138.1799801054166,1655.5711254687487,6336.3370710904055,2.508137131955436,-5.858355099102288,1.7588907246908272
556.4901410542465,148.89694506535636,1630.513471683577,6343.77181055733,2.5072674498954504,-5.86831013137341,1.720476983728989
560.8098079860885,159.7254889926194,1605.1428803772237,6351.1197913148535,2.5063229084146297,-5.878212920050265,1.6816240507997648
565.17044411888,170.65245119644013,1579.4886317989099,6358.367180378283,2.50530270286144,-5.888047080463355,1.6423771096164264
569.5671269006725,181.66508706781016,1553.5792614915335,6365.5011529658,2.5042062807652554,-5.897797306161342,1.6027799778860614
573.9952260949069,192.75138928217612,1527.4417972381882,6372.510077355478,2.5030333001895038,-5.907449627615455,1.562873955376415
578.4503456602712,203.89994407351557,1501.1020851582714,6379.383383784392,2.5017836285134014,-5.916991245542262,1.5226983397703033
582.9283222663892,215.09992932268048,1474.584783120726,6386.11152825147,2.5004573283729026,-5.926410492920799,1.482290433031898
587.4251896311172,226.34102702678376,1447.9135568527013,6392.685904830874,2.499054653777901,-5.935696725216348,1.4416858563037058
591.9372095324652,237.61350237640391,1421.110881510897,6399.09885783979,2.497576026464203,-5.9448403507775165,1.4009182632458033
596.4608718631295,248.90820506587315,1394.1980258156166,6405.343642370181,2.496022019537461,-5.9538327914992095,1.3600193321407361
600.9928792203023,260.2165317736796,1367.1951284909421,6411.414362666731,2.49439334623459,-5.962666412229192,1.319018897865727
605.5301270142903,271.5303773671448,1340.121302463792,6417.305907081408,2.492690851408136,-5.971334444119474,1.2779451249309273
610.0697196184113,282.84217584277593,1312.994524804353,6423.013931261828,2.490915490150915,-5.979830978416427,1.2368243546091657
614.6089565749888,294.1448663206384,1285.8317054394322,6428.53480051016,2.4890683170106462,-5.988150901429477,1.1956812230222418
619.14529460848,305.4317987718326,1258.648901983588,6433.865506751822,2.4871504867070744,-5.996289789172189,1.1545389992181596
623.6763760225014,316.69680493370663,1231.4611381927941,6439.003668097787,2.485163228643158,-6.004243925618699,1.1134193219493622
628.2000034967122,327.9341355798135,1204.2825436734,6443.947463369022,2.4831078433751843,-6.012010223042986,1.0723424224357263
632.7141305574955,339.1384367694929,1177.1264008374505,6448.69558857138,2.480985693896931,-6.019586173970895,1.0313272055840466
637.2168383214705,350.3046919960229,1150.0052754232327,6453.247201797796,2.478798204551672,-6.026969782938994,0.9903914564358612
641.7063174379463,361.42817733718755,1122.9311170545413,6457.6018785386095,2.4765468594602695,-6.034159511751519,0.9495520001395206
646.1809126646116,372.5045716641303,1095.9149825389118,6461.759628152773,2.4742331697568147,-6.041154325546497,0.9088242923205625
650.6390409425888,383.5297533816515,1068.9675227372259,6465.720789514205,2.4718587050341094,-6.047953538146679,0.8682231605304378
655.0791878238123,394.4997916716088,1042.0989987527282,6469.486011422406,2.4694250888966365,-6.054556791198645,0.827762834161208
659.4999140886366,405.41096282683094,1015.3192367248723,6473.056241808182,2.4669339890254376,-6.0609640486891845,0.7874568815841432
663.8998603277706,416.2597613706223,988.6375949532111,6476.432713757423,2.4643871078389945,-6.067175587143933,0.7473181657145779
668.2777459659792,427.042897321702,962.0629648622748,6479.616926487866,2.461786176107084,-6.073191977314495,0.7073588502457129
672.6323437591325,437.7572330597077,935.6039213654441,6482.610610214949,2.4591329618253965,-6.079014033835548,0.6675906300251678
676.9623963680881,448.39957822370224,909.2692267981017,6485.415660755383,2.456429318048116,-6.084642696427548,0.6280254916413017
681.2667457882566,458.9670081931316,883.0670414576357,6488.034219141758,2.4536771005459173,-6.09007919449021,0.5886745299795612
685.5442272808842,469.45660320394376,857.0055654640291,6490.4685911852275,2.4508782296724463,-6.0953248986015955,0.5495489157159961
689.7936948874819,479.86551129076156,831.092881458979,6492.721259179373,2.4480346727137734,-6.100381349546303,0.5106596613613085
694.0139711893946,490.19082552527885,805.3372590888429,6494.79485177292,2.44514847630588,-6.105250195667053,0.4720180803907671
698.2039388246164,500.429808292421,779.7465948728872,6496.692186821908,2.442221703182828,-6.109933296894447,0.4336349488313117
702.3624451874764,510.5796582256501,754.328991845411,6498.416219165717,2.4392564954493148,-6.114432610202944,0.3955213770026034
706.4882813169232,520.63745952997,729.0928879430163,6499.9700366875795,2.436255091620729,-6.118750171734093,0.35768900337711235
710.5802305818384,530.6003015023633,704.0467575157182,6501.356883196896,2.4332197930986297,-6.122888152481032,0.32014954848215604
714.6370989366781,540.4653523571549,679.198924504828,6502.580164831235,2.4301529404385667,-6.126848885790346,0.282914536691439
718.6575571918089,550.2294761991063,654.558527445472,6503.643403331002,2.427057033085672,-6.1306347146739535,0.24599674381046824
722.6403260158571,559.8896836586747,630.13438560955,6504.550295676165,2.4239345911680332,-6.134248176567958,0.20940849931960126
726.5839158924834,569.4425016786182,605.9365926013884,6505.304655589433,2.420788359831366,-6.137691768629279,0.1731640751696501
730.4868509728074,578.8845180514505,581.9751436791352,6505.910477553078,2.417621138890407,-6.140968163606036,0.13727763058195674
734.347533958073,588.2120549767611,558.2607639934631,6506.371915263607,2.4144358924628966,-6.144080096469711,0.10176445412216839
738.1643005903092,597.4213023368011,534.8045738162881,6506.693301059086,2.4112357091233556,-6.147030421033067,0.06664046365511764
741.9352962576413,606.5080215283723,511.61884662467475,6506.879147366692,2.4080239100725915,-6.149822026278638,0.03192334294399017
745.6585007214313,615.4676078194905,488.7168577711307,6506.934172515201,2.4048040376354343,-6.152457878348492,-0.002367683581020172
749.331796497728,624.2952570031277,466.112463772684,6506.863318410969,2.4015798026796054,-6.154941085244995,-0.03621247910511088
753.0080199477449,633.1179973386825,443.4811357932767,6506.667912813674,2.398305709319354,-6.157309509228848,-0.07009751654935623
756.7252969239014,642.0269361561624,420.58844362414476,6506.343636825663,2.3949469196732514,-6.159585502120013,-0.10437436206670475
760.4798205042226,651.0123755050399,397.4580089635411,6505.886748217944,2.3915053118776664,-6.161762843032401,-0.13900824286832617
764.2673322338587,660.0635761106888,374.11629551737894,6505.294066805553,2.3879833682271325,-6.163835517058324,-0.1739601614749003
768.0832439508952,669.1690588296656,350.59185908032407,6504.563041408279,2.3843840945904864,-6.165797863036066,-0.20918801190841058
771.9224903712496,678.3162629084006,326.9162557373711,6503.691857071495,2.3807111895480157,-6.1676445724723745,-0.24464521170150022
775.7793509603799,687.4911348259069,303.1251401371359,6502.679581708623,2.3769692553383486,-6.169370704501937,-0.28027904716645236
779.6473843968604,696.6779887615369,279.258669454641,6501.526314418445,2.3731639115569294,-6.170971780993401,-0.3160300560349647
783.5192066266446,705.8589984109831,255.36287178352703,6500.233401247766,2.369302070782367,-6.172443836965054,-0.3518299627209427
787.386418159954,715.0140473204226,231.49009320537863,6498.803637704843,2.365392079437049,-6.173783562760515,-0.3876009902702011
791.2393470235977,724.1201458302737,207.7005815688985,6497.241559764526,2.3614440529674465,-6.174988402173447,-0.4232534656136739
795.0670178328531,733.1513871156516,184.06267315575192,6495.553677929717,2.3574699927786225,-6.176056754778077,-0.4586855142743462
798.85705161721,742.0787405089525,160.65340461220774,6493.748739736914,2.3534839744980736,-6.176988157723885,-0.4937821148238498
