Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s),Event
0.0,-458.708149922512,3081.87505277474,5546.65660601263,-0.224735806416073,-0.0343930667990539,0.000524097448327249,general_trajectory
0.999999999996648,-458.932959645249,3081.84116453756,5546.65802434893,-0.224886751561326,-0.0333796181366612,0.00232007628488426,general_trajectory
1.9999999999933,-459.15792221962,3081.80830230393,5546.6612612767,-0.225041519378046,-0.0323409958294432,0.00416139842277665,general_trajectory
2.99999999998995,-459.383041475214,3081.77649144429,5546.66636249562,-0.225200168730733,-0.0312768119512218,0.00604877903536374,general_trajectory
3.89705206309771,-459.585128709164,3081.74887011895,5546.6725629822,-0.225345837328229,-0.0303001096837695,0.00778164670153232,general_trajectory
3.9999999999866,-459.6083304047,3081.74575632477,5546.67337444876,-0.225362759468142,-0.0301866718353644,0.00798294734156716,general_trajectory
4.99999999998325,-459.833774884646,3081.71612587701,5546.68234425211,-0.225529352788808,-0.0290701714065975,0.00996464662139862,general_trajectory
5.9999999999799,-460.059387985001,3081.68762528021,5546.69331983519,-0.225700010705952,-0.0279269011405845,0.0119946342174641,general_trajectory
6.99999999997654,-460.285173779449,3081.66028151582,5546.7063498708,-0.2258747964182,-0.0267564434127517,0.0140736815265771,general_trajectory
7.79410412619542,-460.464601930341,3081.63940919696,5546.71819336439,-0.226016577500116,-0.0258073296420858,0.0157601300190969,general_trajectory
7.99999999997319,-460.511136472682,3081.63412197633,5546.72148381031,-0.226053774223562,-0.0255583731640322,0.0162025739781358,general_trajectory
8.99999999996984,-460.737280266985,3081.60917449334,5546.73877189736,-0.226237009527056,-0.0243322578944739,0.0183821110005192,general_trajectory
9.99999999996649,-460.963609430595,3081.58546733466,5546.75826518199,-0.226424568846479,-0.0230776576762213,0.020613105975275,general_trajectory
10.9999999999631,-461.190128366101,3081.56302920139,5546.78001553475,-0.226616519818356,-0.0217941251710063,0.0228963861791906,general_trajectory
