Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s)
176.621808270265,-460.204360246638,3027.13955025361,5653.15826851027,0.708237237678584,-1.55625404935076,1.80239234012227
176.64424672926117,-460.1884683675578,3027.1046289413625,5653.198709055707,0.7082485467135445,-1.5563761159338596,1.8021818884900842
176.8686313192228,-460.02953558413554,3026.7552653602115,5653.602854966305,0.7083620940695353,-1.557594423178772,1.8000796320131975
179.1124772188391,-458.43877290385865,3023.2467694455386,5657.618537249474,0.7095393885862652,-1.569558196346548,1.7792664710128014
183.89177689922732,-455.04129906753434,3015.6865608165645,5666.018211812156,0.7122433981233114,-1.5939589991194547,1.7359564942096501
189.1265234548236,-451.3046863415721,3007.2753294729273,5674.983829893447,0.7154011219108323,-1.6194889265650758,1.6896202505309115
195.02238347514233,-447.0759583516488,2997.6447386309683,5684.793909272932,0.7190882638291062,-1.647274121037908,1.6382804049579947
201.70438998380496,-442.2568221338983,2986.534713600486,5695.548361658872,0.7233409250703403,-1.6779694321509881,1.58073309922185
209.30883362480733,-436.73773317104934,2973.644003819226,5707.321438429728,0.7282012590378988,-1.71224796648968,1.5156902070697862
217.9375471157495,-430.43059090457325,2958.7037206247483,5720.082547835466,0.7336867348517696,-1.750594270387425,1.4421662474030932
224.71653003701607,-425.44245226966495,2946.7352381292276,5729.663469593802,0.7379542941356572,-1.780423099375747,1.3844962632110098
231.49551295828263,-420.42553326965185,2934.565283691482,5738.853565940037,0.7421770292262457,-1.810039680817756,1.3268554988482535
244.15006429822628,-410.98438528105794,2911.312664296071,5754.963475733207,0.7499284917737445,-1.8648436455872375,1.2192380609456848
259.1489675513168,-399.66879542185086,2882.8593187513784,5772.293222756385,0.758884979029726,-1.9290929844718119,1.0915248503266506
280.1356368197272,-383.6144213783514,2841.440436944181,5793.32144368395,0.7709914128898461,-2.017862036318417,0.9123152080371321
294.2973136180378,-372.6397711457595,2812.444011176012,5805.38221797098,0.778878615614254,-2.07711554048779,0.7909050119441312
305.60961894880654,-363.79403139068825,2788.6807827696907,5813.778817868935,0.7850101671703387,-2.1241566193221657,0.6935338395483743
316.9219242795753,-354.8798419108141,2764.386233185104,5821.071239199373,0.7909766380409028,-2.171086378813488,0.5956506394027808
324.23246035147633,-349.0836102861434,2748.4033546937,5825.193249207741,0.7947276642986636,-2.2015015251356465,0.5319664110401249
331.54299642337736,-343.26033825319473,2732.197201419831,5828.84777205084,0.79836830613845,-2.232219041974648,0.467705974663292
335.68596623730645,-339.94856820829057,2722.9126282665675,5830.709304406974,0.8003639377263185,-2.249915482766094,0.43087663518152963
337.9175360512939,-338.16132703382186,2717.881011643273,5831.648526545733,0.8014117937650234,-2.2595909351447765,0.4108578601164789
340.14910586528134,-336.3717726882545,2712.827657396373,5832.542899645104,0.8024364859435354,-2.269402386184861,0.3906765565781112
345.32091406583385,-332.2158013612587,2701.0305596805047,5834.440869510883,0.8046970536170625,-2.292879016910086,0.34306414428649584
349.3742849729933,-328.9507321570301,2691.6975800740865,5835.753832123572,0.8063142521114898,-2.312370579989682,0.3045545652050459
352.97948122271106,-326.0414626383201,2683.327930654002,5836.788104445533,0.8075859051809559,-2.330976253626137,0.2689574925555144
356.19774005273194,-323.4408600517022,2675.7975703066663,5837.600513871372,0.8085346625464026,-2.349078535209708,0.23562612080322862
359.0852448848154,-321.10522535478145,2668.9891344498387,5838.235637324449,0.8091806835092779,-2.367032251861223,0.2039586374915689
361.9727497168988,-318.76808577973213,2662.1257589347942,5838.77615382159,0.8095640577854051,-2.3872569617475357,0.16997245982621728
364.3033844882202,-316.8811717251673,2656.540732364088,5839.138116421604,0.8096202567596898,-2.4058446129590743,0.14024210731684222
364.65027938692384,-316.600321010488,2655.7056418701304,5839.185962310784,0.8096051866376676,-2.4088255883881953,0.1355999244958621
364.99717428562747,-316.319476694519,2654.86950644622,5839.232186883154,0.8095832580892102,-2.4118701098889135,0.13089348919836294
365.6102989078686,-315.8231176526508,2653.3890380006164,5839.309848502628,0.8095256570277464,-2.4174263873481165,0.12239810548349407
367.53737624980073,-314.26339917834605,2648.712461654251,5839.518799058385,0.8091658616486161,-2.436576491120331,0.09399578478164726
368.22971644574136,-313.70324972032364,2647.022911564928,5839.580113488105,0.8089602936585387,-2.4441889153922265,0.08305392306774653
368.922056641682,-313.1432584911337,2645.327935918955,5839.633696264,0.8087080451876257,-2.4522576945059673,0.07165283350379698
369.32530727011374,-312.8171802123465,2644.3380731706407,5839.6612104545575,0.808537501925188,-2.4571906045073977,0.06477770407536833
369.72071904657594,-312.4975111914482,2643.365483346808,5839.685459918647,0.808350944756732,-2.462219487428863,0.05784340340734045
371.1214722612895,-311.36576244552776,2639.903154491536,5839.7483857792,0.8075154177937709,-2.481794047457056,0.031511230386577556
372.43948709660896,-310.3021233410252,2636.6183288557777,5839.771937459991,0.8064325373042995,-2.5032742517136866,0.0036615986128306494
373.6306479398883,-309.34226757057087,2633.6233469173585,5839.759686314017,0.8051433344037263,-2.525999651807075,-0.024829448505284776
374.71219987828255,-308.47223784544565,2630.8786296081103,5839.717279969619,0.8036548194446369,-2.550148283360917,-0.05422088274207568
375.7035616057149,-307.67633529499886,2628.3380088900167,5839.648641389878,0.8019626630893724,-2.5760461484883708,-0.08493087582935586
376.61452503224865,-306.94661175491956,2625.9789756853647,5839.556906879205,0.8000696028456945,-2.6038860043075265,-0.11719817305274416
377.453220543348,-306.276448106565,2623.7828656811093,5839.444659765276,0.7979787440585444,-2.633860923504731,-0.15125408256590672
378.2267000554712,-305.6600875584865,2621.7334555561156,5839.314038274427,0.7956931863252779,-2.6661751526873645,-0.18733609368556275
378.941126334043,-305.0924853918909,2619.8165353825157,5839.1668216502185,0.7932160240292339,-2.7010483228007307,-0.22569295572651935
379.60191604954514,-304.56919547444926,2618.0195855353923,5839.004495730972,0.7905503380480295,-2.738719860460793,-0.2665897448750334
380.21385844727877,-304.08627612385874,2616.331504834823,5838.828301682268,0.7876991511477076,-2.7794542704431917,-0.3103136926339255
380.78121468844,-303.6402113801761,2614.742378642236,5838.639270967799,0.7846653400026806,-2.82354769885987,-0.3571812078322181
381.30780214310084,-303.2278443526753,2613.2432767871096,5838.438248392137,0.781451491122799,-2.871336383373797,-0.4075467177953962
381.481967071855,-303.0918431067537,2612.74167623919,5838.365679342663,0.7802923856288895,-2.8888855628201195,-0.4259486105836419
