Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s)
243.179193923682,-405.528518866021,2904.39477963322,5768.9912441019,0.939215523782394,-2.13746078237077,1.69136045380097
243.18175276942065,-405.5261155564278,2904.3893101868216,5768.995572004614,0.9392170498467395,-2.1374717120639293,1.6913387441533696
243.20734122680727,-405.5020822457277,2904.3346141846455,5769.038847976411,0.9392323099440333,-2.137581007514417,1.6911216474749808
243.46322580067346,-405.2617276670886,2903.787500357539,5769.471302158267,0.939384856307996,-2.1386738139488704,1.6889506603863185
246.0220715393353,-402.856039882273,2898.3009955431985,5773.765288397125,0.9409048660903634,-2.1495871114137035,1.6672386925202196
250.19517661502394,-398.9244077474467,2889.2935010188694,5780.648953368766,0.9433625748116825,-2.1673278964674076,1.6318208145423492
254.36193614630636,-394.9885755468858,2880.2259840243833,5787.374660779692,0.9457904411005098,-2.1849716632679828,1.596444653159573
258.51784230812865,-391.05297216136427,2871.108998871954,5793.9359933004225,0.9481861392421674,-2.2025005799301187,1.5611471480339671
262.66257933346566,-387.11808273453715,2861.9441015450348,5800.33355948745,0.9505498261754254,-2.2199146657318005,1.5259296900333028
266.7958488797228,-383.1843763357783,2852.732821680145,5806.568030414232,0.952881669217891,-2.237214006838816,1.4907935467983409
270.91732466091236,-379.2523490384028,2843.4767631546456,5812.640070460983,0.9551818203808851,-2.2543985660038306,1.455740248944321
275.0267214865476,-375.32245808533173,2834.1774494799615,5818.550440187667,0.9574504551489579,-2.27146847090251,1.4207710036301466
279.12369566070345,-371.3952169568111,2824.8365480428342,5824.299851002284,0.9596877171845568,-2.2884235994200317,1.3858875424795778
283.20794435555814,-367.47110038386506,2815.4556457925696,5829.889109505978,0.9618937734830456,-2.3052639930204237,1.3510912767687775
287.27915250480817,-363.5505950393318,2806.0363689123474,5835.319040340824,0.9640687849746864,-2.3219896357637304,1.316383749862585
291.3369929661066,-359.6341994623331,2796.580383278735,5840.590488396856,0.9662129070042175,-2.338600455799424,1.2817666367596194
295.3811579231562,-355.7223937252492,2787.0893213115346,5845.704359928011,0.9683263060330962,-2.3550964540115804,1.247241476890839
299.4113258694352,-351.8156712153234,2777.5648584829496,5850.661579032043,0.9704091421454366,-2.3714775685704854,1.2128099562989167
303.42715412008573,-347.91454600696994,2768.0087321274023,5855.463081039111,0.9724615656719232,-2.3877436455516414,1.1784739727267115
307.4283397245423,-344.0194936637226,2758.4225965249084,5860.1098856805675,0.9744837484369467,-2.403894685770632,1.1442351155195147
311.4145250356299,-340.13104299222067,2748.8082480073444,5864.602985297508,0.9764758357416949,-2.4199304627141,1.1100954739103128
315.3853826904437,-336.2496933829865,2739.1674221329295,5868.943445446195,0.9784379896918608,-2.4358508663180856,1.0760569108801175
319.34056264174666,-332.3759663834703,2729.501920911473,5873.132344350497,0.9803703626491829,-2.4516556895104835,1.0421215173136698
323.2797377217619,-328.51036110412855,2719.8135019543342,5877.17082249557,0.9822731197768979,-2.467344810789852,1.0082912220360967
327.2025178935157,-324.6534383335203,2710.1040893649333,5881.059994986259,0.9841463977288033,-2.4829178527764513,0.9745685289984302
331.1085979638126,-320.80567542182376,2700.375409346186,5884.801100906002,0.9859903757287678,-2.4983747697139576,0.9409552488602007
334.99758269445357,-316.96763819662624,2690.6294230304657,5888.39533012549,0.9878051921540839,-2.513715153225634,0.9074540032109935
338.8691134827106,-313.13985636002866,2680.8680127815364,5891.84394887234,0.9895910050948608,-2.528938735188058,0.8740671362585675
342.7228090570135,-309.3228818874524,2671.093130009189,5895.148243473068,0.991347964514072,-2.544045153224117,0.8407972260603019
346.55830821550984,-305.5172467215797,2661.3066872494182,5898.309558359901,0.9930762320236156,-2.5590341187198136,0.8076467166634971
350.3751840647686,-301.7235478499481,2651.510777136462,5901.329226018538,0.9947759424143409,-2.5739050818760854,0.7746186602910781
354.17303356324624,-297.94235856988945,2641.7074451963476,5904.208643919501,0.9964472445763585,-2.5886575827276688,0.7417159451476222
357.9514592014007,-294.17424650094296,2631.89873545974,5906.949257235515,0.998090292969544,-2.603291178732356,0.7089414538963994
361.7100245139192,-290.41981794592317,2622.0868062134577,5909.5525274820875,0.9997052284984713,-2.617805272761973,0.6762984506451789
365.4482957190186,-286.67967644041016,2612.2738228987896,5912.019965280791,1.001292197102026,-2.63219927522225,0.6437902214355151
