Time (s),X (km),Y (km),Z (km),Vx (km/s),Vy (km/s),Vz (km/s)
492.706166747025,-11.3025503851355,1999.74350919679,6215.80286823693,2.51350688086923,-5.70333798278398,2.29112217327973
492.7217173406602,-11.263463859078536,1999.6548185592678,6215.838495470733,2.513507131951212,-5.703382506518995,2.290983775583702
492.78850763205253,-11.095585949546592,1999.2738815941384,6215.991491093751,2.5135082004519944,-5.703573713359745,2.290389348917782
493.03440592793095,-10.477518095278104,1997.8712960172488,6216.554424855802,2.513511995829238,-5.704277333849215,2.2882008210879814
494.1581480547377,-7.652970165123239,1991.459355315617,6219.1201525068045,2.5135265693088003,-5.707486124046578,2.2781981953795105
501.8262119453273,11.620963647196334,1947.6108375775682,6236.327692055205,2.5135047726301205,-5.729087913578063,2.2098924525285826
561.2437692131858,160.81309970097396,1602.5917840206944,6351.848691160475,2.506224004939814,-5.879198043811191,1.6777191191948697
615.1963828610683,295.6068990997973,1282.3138870248383,6429.235578947552,2.4888234845625674,-5.98921349781651,1.190354600907761
669.1489965089507,429.1874292972529,956.7713458521073,6480.22969326464,2.4612599522938092,-6.0743682516875825,0.6994034439430714
735.6279240097563,591.3026711053981,550.3935820179495,6506.494585610454,2.4133672007999585,-6.145081884145969,0.08998275082128382
803.5063889734295,753.0091988840746,131.93260574813712,6491.352742260828,2.348523703999415,-6.17795603572428,-0.536853985054611
848.8893945024852,858.4299453285338,-148.498071643601,6457.433074425246,2.296076101148312,-6.177401658188837,-0.9582508610334843
873.1166250072544,913.6859749267876,-298.0753256841707,6431.484955795929,2.2650516575748387,-6.169579920020673,-1.1838859472270942
890.3820184837679,952.5924616377309,-404.523353128409,6409.654603386552,2.241642363071507,-6.160764466997846,-1.344948213833629
901.7511987011917,977.9875349161091,-474.5258653845344,6393.7601824056865,2.2256319814688097,-6.153472228112573,-1.4511203891216347
910.7015554201515,997.8500514229729,-529.5727501033223,6380.397853729018,2.212692960224821,-6.146893882532194,-1.5347644904266713
912.7861452833856,1002.4594261398249,-542.3848017985963,6377.178186871961,2.2096368197388587,-6.145255192900042,-1.5542530557272918
913.5574560558141,1004.1633052916549,-547.1244659016886,6375.976593587464,2.2085019400135857,-6.1446386257807,-1.5614646323833965
913.8977932380741,1004.9148552978411,-549.2156683328817,6375.44462760729,2.208000476689813,-6.144364807286834,-1.5646468238042734
913.9931102177645,1005.1253085377228,-549.8013269650811,6375.295447722774,2.2078599565054304,-6.144287926553164,-1.5655380613141379
914.088427197455,1005.3357483820342,-550.3869782652058,6375.146182887922,2.207719402521617,-6.144210961141412,-1.566429304450345
914.1820709311075,1005.5424810029838,-550.96234157633,6374.999455602014,2.2075812829894113,-6.144135264375159,-1.5673049077019516
914.8187811978993,1006.9477715035721,-554.8742112380427,6373.999641124433,2.206641304077373,-6.143618413223748,-1.573258525987865
921.1858838658167,1020.9675740503591,-593.9743438643463,6363.792975902418,2.197158310102066,-6.138241346506784,-1.6328082402575006
926.172927607478,1031.9061516530637,-624.5749528230631,6355.533750645628,2.1896243449599413,-6.13376279918409,-1.6794671021981387
928.0029268698255,1035.9106132367974,-635.7981808748041,6352.444658105359,2.1868360259905706,-6.132059767414269,-1.6965919646906242
928.1818184690533,1036.3017953903848,-636.8951398114509,6352.141002311748,2.186562763401284,-6.131891550030762,-1.698266096355382
928.2411576712087,1036.4315415901588,-637.2589997063462,6352.040212080399,2.1864720936214903,-6.1318356828639935,-1.6988214173303273
928.3004968733642,1036.5612824092568,-637.622856285112,6351.939388896696,2.1863814102379013,-6.13177978143966,-1.6993767400152537
928.3552444575377,1036.680979219006,-637.9585550023062,6351.8463381005195,2.1862977318090917,-6.1317281752809825,-1.699889093822269
928.9027202992723,1037.8776952289816,-641.315386474936,6350.914287366052,2.1854603108712993,-6.131210510494041,-1.7050127120254213
934.3774787166193,1049.819516605665,-674.8678036448138,6341.439487443408,2.1770217173841413,-6.125871494067303,-1.7562562484546635
940.2492056124485,1062.5754978987134,-710.8196151051892,6330.965849626275,2.167836680891615,-6.119804532246459,-1.8112261924339732
941.2298076819897,1064.700524277268,-716.8201943330699,6329.185256201689,2.1662884394544455,-6.118754870150519,-1.820406817823682
941.6975116401326,1065.713532954447,-719.681842323987,6328.332820750589,2.165548489798217,-6.118250367861402,-1.8247855545228238
941.790084673145,1065.913997562112,-720.2482226821742,6328.163854701395,2.16540191429492,-6.118150212108346,-1.8256522390345795
941.7933740569931,1065.9211203916263,-720.2683476208063,6328.157849379759,2.165396705336822,-6.118146651460491,-1.825683034788655
941.7963498283616,1065.927564110132,-720.286553821647,6328.152416523004,2.1653919929565957,-6.118143430161959,-1.8257108944446547
941.8180769891709,1065.974611556388,-720.4194834522747,6328.112746799014,2.1653575849785187,-6.118119907185288,-1.8259143076235014
941.9784670684523,1066.3218930578087,-721.4007552539501,6327.819767837882,2.1651035184555165,-6.117946089463905,-1.8274159032260702
943.5823678612669,1069.7924631729088,-731.2119305257105,6324.876732127022,2.1625563027239347,-6.1161910589941515,-1.84243155496997
948.4709702036915,1080.3452217336842,-761.0981131871987,6315.757962287972,2.154713515361162,-6.110636981790857,-1.888189869316439
953.2030647297248,1090.5233099141815,-790.0008280349047,6306.718124947558,2.146988171062128,-6.104908854557388,-1.9324517209290304
953.3355528464054,1090.8077458574453,-790.8096448926432,6306.462016018729,2.14676962227451,-6.1047424554885605,-1.9336901584408352
953.4071386361701,1090.9614198278648,-791.2466544797153,6306.323567331477,2.146651479480125,-6.104652394147281,-1.9343592856718754
953.4443989119242,1091.0414035080512,-791.4741146372791,6306.251486082699,2.146589970500743,-6.104605474692426,-1.9347075585738003
